Unnamed: 0,job_title,job_type,experience_level,location,salary_currency,salary,salary_normalized,PCA_Component_1,PCA_Component_2
638,Data analyst,Full Time,Senior,Remote - United States,USD,63000,0.16666666666666666,0.46946952988463647,-0.05700816663343669
639,Data analyst,Full Time,Senior,London,USD,63000,0.16666666666666666,0.45330012563194366,-0.11990821951134331
640,Data analyst,Full Time,Senior,Raleigh,USD,63000,0.16666666666666666,0.4620855591885986,-0.05426947306593065
641,Data analyst,Full Time,Senior,Charenton-Le-Pont,USD,63000,0.16666666666666666,0.4611349058416269,-0.048267110034729506
642,Data analyst,Full Time,Mid,London,USD,51000,0.10606060606060605,-0.93587968739717,-0.3511548512578773
643,Data analyst,Full Time,Senior,Barcelona,USD,63000,0.16666666666666666,0.44962993642928434,-0.04668016780641354
645,Data analyst,Full Time,Mid,Brampton,USD,51000,0.10606060606060605,-0.9533578296005263,-0.30651260696836363
646,Data analyst,Full Time,Executive,Chennai,USD,46000,0.0808080808080808,-0.3110788632081066,0.2504340756571614
648,Data analyst,Full Time,Senior,Chennai,USD,63000,0.16666666666666666,0.46242500502419515,-0.053122836680977344
649,Data analyst,Full Time,Senior,UK,USD,63000,0.16666666666666666,0.4631122272530348,-0.05460740307652794
652,Data analyst,Full Time,Mid,Colorado Springs,USD,100000,0.3535353535353536,-0.9101748116821782,-0.31950322169191553
655,Data analyst,Full Time,Entry,Porto,USD,30000,0.0,-0.43346704725680707,1.0193453085097206
660,Data analyst,Full Time,Senior,New York City,USD,95000,0.3282828282828283,0.4891551933237556,-0.08944289981591308
662,Data analyst,Internship,Senior,Paris,USD,63000,0.16666666666666666,0.3893728691828284,0.24303945248337364
663,Data analyst,Full Time,Entry,Overland Park,USD,30000,0.0,-0.43547477195837103,1.0221391175744285
665,Data analyst,Full Time,Mid,London,USD,51000,0.10606060606060605,-0.93587968739717,-0.3511548512578773
667,Data analyst,Full Time,Senior,Washington,USD,81000,0.25757575757575757,0.47381421595231876,-0.06758138808958761
668,Data analyst,Full Time,Mid,Seattle,USD,51000,0.10606060606060605,-0.9217893579830532,-0.27739795938676687
669,Data analyst,Full Time,Senior,Hamburg,USD,63000,0.16666666666666666,0.4622244734919607,-0.04269585007864036
670,Data analyst,Full Time,Entry,Pyrmont,USD,30000,0.0,-0.43547477195837103,1.0221391175744288
671,Data analyst,Full Time,Mid,Philadelphia,USD,51000,0.10606060606060605,-0.9280464380614047,-0.2877577626708726
676,Data analyst,Full Time,Senior,Helsinki,USD,63000,0.16666666666666666,0.4641434415036446,-0.05494936347728759
677,Data analyst,Full Time,Senior,Richardson,USD,63000,0.16666666666666666,0.4620855591885986,-0.05426947306593096
678,Data analyst,Full Time,Entry,Downers Grove,USD,30000,0.0,-0.43643680436011534,1.0281983296621684
680,Data analyst,Full Time,Mid,Chicago,USD,51000,0.10606060606060605,-0.9240082541325053,-0.28775587743716524
683,Data analyst,Full Time,Senior,Pittsburgh,USD,63000,0.16666666666666666,0.4620855591885986,-0.054269473065931176
688,Data analyst,Full Time,Senior,United States,USD,152000,0.6161616161616162,0.531253198627899,-0.10968831348274677
689,Data analyst,Full Time,Executive,Remote,USD,41000,0.05555555555555555,-0.2942204966322952,0.22378666453916676
692,Data analyst,Full Time,Senior,Tel Aviv,USD,63000,0.16666666666666666,0.4651345883112785,-0.05517066074437223
697,Data analyst,Full Time,Mid,Athens,USD,51000,0.10606060606060605,-0.9384872998595118,-0.2964533950202938
698,Data analyst,Full Time,Mid,Bengaluru,USD,51000,0.10606060606060605,-0.9326057285036385,-0.31438531104232564
699,Data analyst,Full Time,Mid,New York City,USD,40000,0.0505050505050505,-0.9227911629984299,-0.29715554451432463
702,Data analyst,Full Time,Senior,United States,USD,125000,0.4797979797979799,0.5169579272578305,-0.0949111588246236
705,Data analyst,Full Time,Senior,Wilmington,USD,63000,0.16666666666666666,0.4620855591885986,-0.05426947306593094
707,Data analyst,Full Time,Senior,Indianapolis,USD,55000,0.12626262626262627,0.4609341975281159,-0.05089074407597633
708,Data analyst,Full Time,Mid,Arlington,USD,51000,0.10606060606060605,-0.9321034701162629,-0.2855103555532319
709,Data analyst,Full Time,Entry,High Wycombe,USD,30000,0.0,-0.43547477195837103,1.0221391175744292
711,Data analyst,Full Time,Senior,Singapore,USD,63000,0.16666666666666666,0.4571899755197785,-0.045137447722803745
712,Data analyst,Full Time,Mid,Paris,USD,51000,0.10606060606060605,-0.9608940239034172,-0.21674974315094236
713,Data analyst,Full Time,Mid,United Kingdom - Remote,USD,51000,0.10606060606060605,-0.93847190300288,-0.2936888440593126
714,Data analyst,Full Time,Senior,Berlin,USD,94000,0.3232323232323232,0.48645938982642384,-0.08482198420290774
715,Data analyst,Full Time,Entry,Lyon,USD,30000,0.0,-0.4426546302510861,1.0232890212613777
717,Data analyst,Full Time,Entry,Heredia,USD,30000,0.0,-0.43439326034277176,1.0276791391699747
720,Data analyst,Full Time,Entry,Downers Grove,USD,30000,0.0,-0.43643680436011534,1.0281983296621684
721,Data analyst,Full Time,Mid,Monterrey,USD,51000,0.10606060606060605,-0.9363636233554486,-0.29199920913792154
722,Data analyst,Full Time,Senior,Remote,USD,70000,0.20202020202020202,0.48563682554225907,-0.08633787209147128
